,n_probes,"build_time, s","query_time, ms",R@1,R@100,build_time
0,1.0,,3.087205648422241,0.396,0.29661,22.19299030303955
1,2.0,,6.200199365615845,0.568,0.46018,22.19299030303955
2,3.0,,9.321211099624634,0.677,0.56841,22.19299030303955
3,4.0,,13.24681043624878,0.749,0.64474,22.19299030303955
4,5.0,,15.805811882019043,0.8,0.70541,22.19299030303955
5,7.0,,22.38504147529602,0.853,0.78487,22.19299030303955
6,10.0,,31.37870764732361,0.912,0.8616,22.19299030303955
7,15.0,,69.7619698047638,0.963,0.92802,22.19299030303955
8,20.0,,92.46305871009827,0.974,0.95965,22.19299030303955
9,30.0,,134.98554110527039,0.988,0.98594,22.19299030303955
