,n_probes,"build_time, s","query_time, ms",R@1,R@100,build_time
0,1.0,,0.31814324855804443,0.543,0.434671,3.5705320835113525
1,2.0,,0.6010024547576904,0.7317,0.617732,3.5705320835113525
2,3.0,,0.8867319583892822,0.823,0.721607,3.5705320835113525
3,4.0,,1.171435832977295,0.8741,0.788543,3.5705320835113525
4,5.0,,1.4457674741744995,0.9055,0.834366,3.5705320835113525
5,7.0,,1.9965526103973388,0.943,0.893838,3.5705320835113525
6,10.0,,2.836019015312195,0.9673,0.939677,3.5705320835113525
7,15.0,,4.090565872192383,0.9815,0.973326,3.5705320835113525
8,20.0,,5.6968354940414425,0.987,0.987337,3.5705320835113525
9,30.0,,8.59458487033844,0.9906,0.996523,3.5705320835113525
